pool,n_sesion,fecha,droga,dosis,ID,hora_inicio,hora_termino,n_licometro,estimulo_spout_1,estimulo_spout_2,licks_inicio_spout_1,licks_inicio_spout_2,licks_fin_spout_1,licks_fin_spout_2,eventos_inicio_spout_1,eventos_inicio_spout_2,eventos_fin_spout_1,eventos_fin_spout_2,ml_consumidos_spout_1,ml_consumidos_spout_2
dreadds_1,1,2025 03 05,na_na_na_na,0_0_na,809,12 43 00,13 47 00,1,cm_100,cm_100,5,15,425,15,1,3,7,3,0,0
dreadds_1,1,2025 03 05,na_na_na_na,0_0_na,810,12 43 00,13 47 00,2,cm_100,cm_100,5,5,453,603,1,1,8,12,0,0
dreadds_1,1,2025 03 05,na_na_na_na,0_0_na,811,12 43 00,13 47 00,3,cm_100,cm_100,5,5,371,744,1,1,5,6,0,0
dreadds_1,1,2025 03 05,na_na_na_na,0_0_na,812,12 43 00,13 47 00,4,cm_100,cm_100,5,10,50,85,1,2,1,2,0,0
dreadds_1,1,2025 03 05,na_na_na_na,0_0_na,813,12 43 00,13 47 00,5,cm_100,cm_100,5,5,214,78,1,1,5,4,0,0
dreadds_1,1,2025 03 05,na_na_na_na,0_0_na,814,12 43 00,13 47 00,6,cm_100,cm_100,10,5,128,267,2,1,3,3,0,0
dreadds_1,2,2025 03 06,na_na_na_na,0_0_na,809,11 45 00,12 56 00,1,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,2,2025 03 06,na_na_na_na,0_0_na,810,11 45 00,12 56 00,2,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,2,2025 03 06,na_na_na_na,0_0_na,811,11 45 00,12 56 00,3,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,2,2025 03 06,na_na_na_na,0_0_na,812,11 45 00,12 56 00,4,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,2,2025 03 06,na_na_na_na,0_0_na,813,11 45 00,12 56 00,5,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,2,2025 03 06,na_na_na_na,0_0_na,814,11 45 00,12 56 00,6,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,3,2025 03 07,na_na_na_na,0_0_na,809,11 33 00,12 37 00,1,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,3,2025 03 07,na_na_na_na,0_0_na,810,11 33 00,12 37 00,2,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,3,2025 03 07,na_na_na_na,0_0_na,811,11 33 00,12 37 00,3,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,3,2025 03 07,na_na_na_na,0_0_na,812,11 33 00,12 37 00,4,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,3,2025 03 07,na_na_na_na,0_0_na,813,11 33 00,12 37 00,5,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,3,2025 03 07,na_na_na_na,0_0_na,814,11 33 00,12 37 00,6,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,4,2025 03 08,na_na_na_na,0_0_na,809,12 23 00,13 23 00,1,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,4,2025 03 08,na_na_na_na,0_0_na,810,12 23 00,13 23 00,2,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,4,2025 03 08,na_na_na_na,0_0_na,811,12 23 00,13 23 00,3,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,4,2025 03 08,na_na_na_na,0_0_na,812,12 23 00,13 23 00,4,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,4,2025 03 08,na_na_na_na,0_0_na,813,12 23 00,13 23 00,5,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,4,2025 03 08,na_na_na_na,0_0_na,814,12 23 00,13 23 00,6,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,5,2025 03 09,na_na_na_na,0_0_na,809,11 52 00,12 52 00,1,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,5,2025 03 09,na_na_na_na,0_0_na,810,11 52 00,12 52 00,2,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,5,2025 03 09,na_na_na_na,0_0_na,811,11 52 00,12 52 00,3,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,5,2025 03 09,na_na_na_na,0_0_na,812,11 52 00,12 52 00,4,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,5,2025 03 09,na_na_na_na,0_0_na,813,11 52 00,12 52 00,5,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
dreadds_1,5,2025 03 09,na_na_na_na,0_0_na,814,11 52 00,12 52 00,6,cm_100,cm_100,0,0,0,0,0,0,0,0,0,0
